id,name,object-type,incident-date,procedure.tactic,procedure.technique,target,actor,mitigation
AML.CS0011,Microsoft Edge AI Evasion,case-study,2020-02-01,AI Attack Staging,Black-Box Optimization,New Microsoft AI Product,Azure Red Team,Adversarial Input Detection
AML.CS0011,Microsoft Edge AI Evasion,case-study,2020-02-01,Impact,Evade AI Model,New Microsoft AI Product,Azure Red Team,Adversarial Input Detection
AML.CS0012,Face Identification System Evasion via Physical Countermeasures,case-study,2020-01-01,Reconnaissance,Search Open Technical Databases,Commercial Face Identification Service,MITRE AI Red Team,Limit Public Release of Information
AML.CS0012,Face Identification System Evasion via Physical Countermeasures,case-study,2020-01-01,Initial Access,Valid Accounts,Commercial Face Identification Service,MITRE AI Red Team,
AML.CS0012,Face Identification System Evasion via Physical Countermeasures,case-study,2020-01-01,AI Model Access,AI Model Inference API Access,Commercial Face Identification Service,MITRE AI Red Team,AI Telemetry Logging
AML.CS0012,Face Identification System Evasion via Physical Countermeasures,case-study,2020-01-01,Discovery,Discover AI Model Ontology,Commercial Face Identification Service,MITRE AI Red Team,Restrict Number of AI Model Queries
AML.CS0012,Face Identification System Evasion via Physical Countermeasures,case-study,2020-01-01,Resource Development,Datasets,Commercial Face Identification Service,MITRE AI Red Team,Limit Model Artifact Release
AML.CS0012,Face Identification System Evasion via Physical Countermeasures,case-study,2020-01-01,AI Attack Staging,Create Proxy AI Model,Commercial Face Identification Service,MITRE AI Red Team,
AML.CS0012,Face Identification System Evasion via Physical Countermeasures,case-study,2020-01-01,AI Attack Staging,White-Box Optimization,Commercial Face Identification Service,MITRE AI Red Team,AI Model Distribution Methods
AML.CS0012,Face Identification System Evasion via Physical Countermeasures,case-study,2020-01-01,Resource Development,AML.T0008.003,Commercial Face Identification Service,MITRE AI Red Team,
AML.CS0012,Face Identification System Evasion via Physical Countermeasures,case-study,2020-01-01,AI Model Access,Physical Environment Access,Commercial Face Identification Service,MITRE AI Red Team,Use Multi-Modal Sensors
AML.CS0012,Face Identification System Evasion via Physical Countermeasures,case-study,2020-01-01,Impact,Evade AI Model,Commercial Face Identification Service,MITRE AI Red Team,Adversarial Input Detection
AML.CS0013,Backdoor Attack on Deep Learning Models in Mobile Apps,case-study,2021-01-18,Reconnaissance,Search Application Repositories,ML-based Android Apps,"Yuanchun Li, Jiayi Hua, Haoyu Wang, Chunyang Chen, Yunxin Liu",Limit Public Release of Information
AML.CS0013,Backdoor Attack on Deep Learning Models in Mobile Apps,case-study,2021-01-18,Resource Development,Models,ML-based Android Apps,"Yuanchun Li, Jiayi Hua, Haoyu Wang, Chunyang Chen, Yunxin Liu",Limit Model Artifact Release
AML.CS0013,Backdoor Attack on Deep Learning Models in Mobile Apps,case-study,2021-01-18,AI Model Access,Full AI Model Access,ML-based Android Apps,"Yuanchun Li, Jiayi Hua, Haoyu Wang, Chunyang Chen, Yunxin Liu",AI Model Distribution Methods
AML.CS0013,Backdoor Attack on Deep Learning Models in Mobile Apps,case-study,2021-01-18,Resource Development,Adversarial AI Attacks,ML-based Android Apps,"Yuanchun Li, Jiayi Hua, Haoyu Wang, Chunyang Chen, Yunxin Liu",
AML.CS0013,Backdoor Attack on Deep Learning Models in Mobile Apps,case-study,2021-01-18,Persistence,Modify AI Model Architecture,ML-based Android Apps,"Yuanchun Li, Jiayi Hua, Haoyu Wang, Chunyang Chen, Yunxin Liu",Validate AI Model
AML.CS0013,Backdoor Attack on Deep Learning Models in Mobile Apps,case-study,2021-01-18,AI Attack Staging,Verify Attack,ML-based Android Apps,"Yuanchun Li, Jiayi Hua, Haoyu Wang, Chunyang Chen, Yunxin Liu",
AML.CS0013,Backdoor Attack on Deep Learning Models in Mobile Apps,case-study,2021-01-18,Initial Access,Model,ML-based Android Apps,"Yuanchun Li, Jiayi Hua, Haoyu Wang, Chunyang Chen, Yunxin Liu",AI Model Distribution Methods
AML.CS0013,Backdoor Attack on Deep Learning Models in Mobile Apps,case-study,2021-01-18,AI Attack Staging,Insert Backdoor Trigger,ML-based Android Apps,"Yuanchun Li, Jiayi Hua, Haoyu Wang, Chunyang Chen, Yunxin Liu",
AML.CS0013,Backdoor Attack on Deep Learning Models in Mobile Apps,case-study,2021-01-18,AI Model Access,Physical Environment Access,ML-based Android Apps,"Yuanchun Li, Jiayi Hua, Haoyu Wang, Chunyang Chen, Yunxin Liu",Use Multi-Modal Sensors
AML.CS0013,Backdoor Attack on Deep Learning Models in Mobile Apps,case-study,2021-01-18,Impact,Evade AI Model,ML-based Android Apps,"Yuanchun Li, Jiayi Hua, Haoyu Wang, Chunyang Chen, Yunxin Liu",Adversarial Input Detection
AML.CS0014,Confusing Antimalware Neural Networks,case-study,2021-06-23,Reconnaissance,Search Open AI Vulnerability Analysis,Kaspersky's Antimalware ML Model,Kaspersky ML Research Team,
AML.CS0014,Confusing Antimalware Neural Networks,case-study,2021-06-23,Reconnaissance,Search Victim-Owned Websites,Kaspersky's Antimalware ML Model,Kaspersky ML Research Team,Limit Public Release of Information
AML.CS0014,Confusing Antimalware Neural Networks,case-study,2021-06-23,AI Model Access,AI-Enabled Product or Service,Kaspersky's Antimalware ML Model,Kaspersky ML Research Team,AI Telemetry Logging
AML.CS0014,Confusing Antimalware Neural Networks,case-study,2021-06-23,Resource Development,Datasets,Kaspersky's Antimalware ML Model,Kaspersky ML Research Team,Limit Model Artifact Release
AML.CS0014,Confusing Antimalware Neural Networks,case-study,2021-06-23,AI Attack Staging,Create Proxy AI Model,Kaspersky's Antimalware ML Model,Kaspersky ML Research Team,
AML.CS0014,Confusing Antimalware Neural Networks,case-study,2021-06-23,Resource Development,Adversarial AI Attacks,Kaspersky's Antimalware ML Model,Kaspersky ML Research Team,
AML.CS0014,Confusing Antimalware Neural Networks,case-study,2021-06-23,AI Attack Staging,Black-Box Transfer,Kaspersky's Antimalware ML Model,Kaspersky ML Research Team,
AML.CS0014,Confusing Antimalware Neural Networks,case-study,2021-06-23,AI Attack Staging,Verify Attack,Kaspersky's Antimalware ML Model,Kaspersky ML Research Team,
AML.CS0014,Confusing Antimalware Neural Networks,case-study,2021-06-23,Defense Evasion,Evade AI Model,Kaspersky's Antimalware ML Model,Kaspersky ML Research Team,Adversarial Input Detection
AML.CS0015,Compromised PyTorch Dependency Chain,case-study,2022-12-25,Initial Access,AI Software,PyTorch,Unknown,Code Signing
AML.CS0015,Compromised PyTorch Dependency Chain,case-study,2022-12-25,Collection,Data from Local System,PyTorch,Unknown,
AML.CS0015,Compromised PyTorch Dependency Chain,case-study,2022-12-25,Exfiltration,Exfiltration via Cyber Means,PyTorch,Unknown,Control Access to AI Models and Data at Rest
AML.CS0016,Achieving Code Execution in MathGPT via Prompt Injection,case-study,2023-01-28,Reconnaissance,Search Open AI Vulnerability Analysis,MathGPT (https://mathgpt.streamlit.app/),Ludwig-Ferdinand Stumpp,
AML.CS0016,Achieving Code Execution in MathGPT via Prompt Injection,case-study,2023-01-28,AI Model Access,AI-Enabled Product or Service,MathGPT (https://mathgpt.streamlit.app/),Ludwig-Ferdinand Stumpp,AI Telemetry Logging
AML.CS0016,Achieving Code Execution in MathGPT via Prompt Injection,case-study,2023-01-28,Execution,Direct,MathGPT (https://mathgpt.streamlit.app/),Ludwig-Ferdinand Stumpp,AI Telemetry Logging
AML.CS0016,Achieving Code Execution in MathGPT via Prompt Injection,case-study,2023-01-28,AI Attack Staging,Verify Attack,MathGPT (https://mathgpt.streamlit.app/),Ludwig-Ferdinand Stumpp,
AML.CS0016,Achieving Code Execution in MathGPT via Prompt Injection,case-study,2023-01-28,Initial Access,Exploit Public-Facing Application,MathGPT (https://mathgpt.streamlit.app/),Ludwig-Ferdinand Stumpp,
AML.CS0016,Achieving Code Execution in MathGPT via Prompt Injection,case-study,2023-01-28,Execution,LLM Plugin Compromise,MathGPT (https://mathgpt.streamlit.app/),Ludwig-Ferdinand Stumpp,Generative AI Model Alignment
AML.CS0016,Achieving Code Execution in MathGPT via Prompt Injection,case-study,2023-01-28,Credential Access,Unsecured Credentials,MathGPT (https://mathgpt.streamlit.app/),Ludwig-Ferdinand Stumpp,
AML.CS0016,Achieving Code Execution in MathGPT via Prompt Injection,case-study,2023-01-28,Impact,Financial Harm,MathGPT (https://mathgpt.streamlit.app/),Ludwig-Ferdinand Stumpp,
AML.CS0016,Achieving Code Execution in MathGPT via Prompt Injection,case-study,2023-01-28,Impact,Denial of AI Service,MathGPT (https://mathgpt.streamlit.app/),Ludwig-Ferdinand Stumpp,Adversarial Input Detection
AML.CS0017,Bypassing ID.me Identity Verification,case-study,2020-10-01,AI Model Access,AI-Enabled Product or Service,California Employment Development Department,One individual,AI Telemetry Logging
AML.CS0017,Bypassing ID.me Identity Verification,case-study,2020-10-01,Initial Access,Evade AI Model,California Employment Development Department,One individual,Adversarial Input Detection
AML.CS0017,Bypassing ID.me Identity Verification,case-study,2020-10-01,Impact,Financial Harm,California Employment Development Department,One individual,
AML.CS0018,Arbitrary Code Execution with Google Colab,case-study,2022-07-01,Resource Development,Develop Capabilities,Google Colab,Tony Piazza,
AML.CS0018,Arbitrary Code Execution with Google Colab,case-study,2022-07-01,Initial Access,AI Software,Google Colab,Tony Piazza,Code Signing
AML.CS0018,Arbitrary Code Execution with Google Colab,case-study,2022-07-01,Initial Access,Valid Accounts,Google Colab,Tony Piazza,
AML.CS0018,Arbitrary Code Execution with Google Colab,case-study,2022-07-01,Execution,User Execution,Google Colab,Tony Piazza,User Training
AML.CS0018,Arbitrary Code Execution with Google Colab,case-study,2022-07-01,Collection,AI Artifact Collection,Google Colab,Tony Piazza,Encrypt Sensitive Information
AML.CS0018,Arbitrary Code Execution with Google Colab,case-study,2022-07-01,Exfiltration,Exfiltration via Cyber Means,Google Colab,Tony Piazza,Control Access to AI Models and Data at Rest
AML.CS0018,Arbitrary Code Execution with Google Colab,case-study,2022-07-01,Impact,AI Intellectual Property Theft,Google Colab,Tony Piazza,Encrypt Sensitive Information
AML.CS0018,Arbitrary Code Execution with Google Colab,case-study,2022-07-01,Impact,External Harms,Google Colab,Tony Piazza,
AML.CS0019,PoisonGPT,case-study,2023-07-01,Resource Development,Models,HuggingFace Users,Mithril Security Researchers,Limit Model Artifact Release
AML.CS0019,PoisonGPT,case-study,2023-07-01,AI Attack Staging,Poison AI Model,HuggingFace Users,Mithril Security Researchers,Maintain AI Dataset Provenance
AML.CS0019,PoisonGPT,case-study,2023-07-01,AI Attack Staging,Verify Attack,HuggingFace Users,Mithril Security Researchers,
AML.CS0019,PoisonGPT,case-study,2023-07-01,Resource Development,Publish Poisoned Models,HuggingFace Users,Mithril Security Researchers,AI Bill of Materials
AML.CS0019,PoisonGPT,case-study,2023-07-01,Initial Access,Model,HuggingFace Users,Mithril Security Researchers,AI Model Distribution Methods
AML.CS0019,PoisonGPT,case-study,2023-07-01,Impact,Erode AI Model Integrity,HuggingFace Users,Mithril Security Researchers,Adversarial Input Detection
AML.CS0019,PoisonGPT,case-study,2023-07-01,Impact,Reputational Harm,HuggingFace Users,Mithril Security Researchers,
AML.CS0020,Indirect Prompt Injection Threats: Bing Chat Data Pirate,case-study,2023-01-01,Resource Development,Develop Capabilities,Microsoft Bing Chat,"Kai Greshake, Saarland University",
AML.CS0020,Indirect Prompt Injection Threats: Bing Chat Data Pirate,case-study,2023-01-01,Defense Evasion,LLM Prompt Obfuscation,Microsoft Bing Chat,"Kai Greshake, Saarland University",
AML.CS0020,Indirect Prompt Injection Threats: Bing Chat Data Pirate,case-study,2023-01-01,Execution,Indirect,Microsoft Bing Chat,"Kai Greshake, Saarland University",AI Telemetry Logging
AML.CS0020,Indirect Prompt Injection Threats: Bing Chat Data Pirate,case-study,2023-01-01,Initial Access,Spearphishing via Social Engineering LLM,Microsoft Bing Chat,"Kai Greshake, Saarland University",
AML.CS0020,Indirect Prompt Injection Threats: Bing Chat Data Pirate,case-study,2023-01-01,Impact,User Harm,Microsoft Bing Chat,"Kai Greshake, Saarland University",
AML.CS0021,ChatGPT Conversation Exfiltration,case-study,2023-05-01,Resource Development,LLM Prompt Crafting,OpenAI ChatGPT,Embrace The Red,
AML.CS0021,ChatGPT Conversation Exfiltration,case-study,2023-05-01,Resource Development,Stage Capabilities,OpenAI ChatGPT,Embrace The Red,
AML.CS0021,ChatGPT Conversation Exfiltration,case-study,2023-05-01,Initial Access,Drive-by Compromise,OpenAI ChatGPT,Embrace The Red,
AML.CS0021,ChatGPT Conversation Exfiltration,case-study,2023-05-01,Execution,Indirect,OpenAI ChatGPT,Embrace The Red,AI Telemetry Logging
AML.CS0021,ChatGPT Conversation Exfiltration,case-study,2023-05-01,Exfiltration,LLM Response Rendering,OpenAI ChatGPT,Embrace The Red,
AML.CS0021,ChatGPT Conversation Exfiltration,case-study,2023-05-01,Privilege Escalation,LLM Plugin Compromise,OpenAI ChatGPT,Embrace The Red,Generative AI Model Alignment
AML.CS0021,ChatGPT Conversation Exfiltration,case-study,2023-05-01,Impact,User Harm,OpenAI ChatGPT,Embrace The Red,
AML.CS0022,ChatGPT Package Hallucination,case-study,2024-06-01,AI Model Access,AI Model Inference API Access,ChatGPT users,"Vulcan Cyber, Lasso Security",AI Telemetry Logging
AML.CS0022,ChatGPT Package Hallucination,case-study,2024-06-01,Discovery,AML.T0062,ChatGPT users,"Vulcan Cyber, Lasso Security",
AML.CS0022,ChatGPT Package Hallucination,case-study,2024-06-01,Resource Development,AML.T0060,ChatGPT users,"Vulcan Cyber, Lasso Security",
AML.CS0022,ChatGPT Package Hallucination,case-study,2024-06-01,Initial Access,AI Software,ChatGPT users,"Vulcan Cyber, Lasso Security",Code Signing
AML.CS0022,ChatGPT Package Hallucination,case-study,2024-06-01,Execution,AML.T0011.001,ChatGPT users,"Vulcan Cyber, Lasso Security",
AML.CS0022,ChatGPT Package Hallucination,case-study,2024-06-01,Impact,User Harm,ChatGPT users,"Vulcan Cyber, Lasso Security",
AML.CS0023,ShadowRay,case-study,2023-09-05,Reconnaissance,Active Scanning,Multiple systems,Ray,
AML.CS0023,ShadowRay,case-study,2023-09-05,Initial Access,Exploit Public-Facing Application,Multiple systems,Ray,
AML.CS0023,ShadowRay,case-study,2023-09-05,Collection,AI Artifact Collection,Multiple systems,Ray,Encrypt Sensitive Information
AML.CS0023,ShadowRay,case-study,2023-09-05,Credential Access,Unsecured Credentials,Multiple systems,Ray,
AML.CS0023,ShadowRay,case-study,2023-09-05,Exfiltration,Exfiltration via Cyber Means,Multiple systems,Ray,Control Access to AI Models and Data at Rest
AML.CS0023,ShadowRay,case-study,2023-09-05,Initial Access,Model,Multiple systems,Ray,AI Model Distribution Methods
AML.CS0023,ShadowRay,case-study,2023-09-05,Impact,Financial Harm,Multiple systems,Ray,
AML.CS0024,Morris II Worm: RAG-Based Attack,case-study,2024-03-05,AI Model Access,AI Model Inference API Access,RAG-based e-mail assistant,"Stav Cohen, Ron Bitton, Ben Nassi",AI Telemetry Logging
AML.CS0024,Morris II Worm: RAG-Based Attack,case-study,2024-03-05,Execution,Direct,RAG-based e-mail assistant,"Stav Cohen, Ron Bitton, Ben Nassi",AI Telemetry Logging
AML.CS0024,Morris II Worm: RAG-Based Attack,case-study,2024-03-05,Execution,LLM Plugin Compromise,RAG-based e-mail assistant,"Stav Cohen, Ron Bitton, Ben Nassi",Generative AI Model Alignment
AML.CS0024,Morris II Worm: RAG-Based Attack,case-study,2024-03-05,Execution,Indirect,RAG-based e-mail assistant,"Stav Cohen, Ron Bitton, Ben Nassi",AI Telemetry Logging
AML.CS0024,Morris II Worm: RAG-Based Attack,case-study,2024-03-05,Persistence,AML.T0061,RAG-based e-mail assistant,"Stav Cohen, Ron Bitton, Ben Nassi",
AML.CS0024,Morris II Worm: RAG-Based Attack,case-study,2024-03-05,Exfiltration,LLM Data Leakage,RAG-based e-mail assistant,"Stav Cohen, Ron Bitton, Ben Nassi",Generative AI Model Alignment
AML.CS0024,Morris II Worm: RAG-Based Attack,case-study,2024-03-05,Impact,User Harm,RAG-based e-mail assistant,"Stav Cohen, Ron Bitton, Ben Nassi",
